credit_level,etc_amt,sa_amt,sbyb_amt,sjyh_amt
70,0,0,0,0
-1,0,0,0,0
60,0,0,0,0
60,0,0,0,13.4
60,0,0,0,239401
60,0,0,0,0
60,0,490330,0,496354
60,17894.300000000003,0,0,14000
70,0,0,0,0
-1,0,45494.740000000005,0,78634
60,0,0,0,0
60,0,605977,0,1
60,0,0,0,0
70,0,0,0,0
-1,0,0,0,0
70,0,0,0,0
60,0,0,0,0
60,81.69999999999999,0,0,0
60,226.14,89487,0,15500
60,0,1830.1000000000001,0,0
60,81,45109.35,0,22662
-1,0,0,0,0
-1,383.72999999999996,332484.51,0,15000
-1,596.1800000000001,62401.590000000004,0,0
70,0,0,0,0
60,0,190754.92,0,311296
70,0,318520.75,0,0
60,0,0,0,0
60,0,111520.43000000007,0,54375
-1,948.6600000000001,18345.710000000003,0,110229
60,0,1164.75,0,500
60,0,63904.939999999995,0,0
60,0,2560,0,0
70,0,366,0,36000
60,0,0,0,0
60,888.7199999999995,868192.69,0,301000
60,0,2203,0,180300
60,0,273083.33,0,300000
70,0,215414.70999999996,0,5000
70,0,45245.08,0,0
60,0,130687.65,39000,74031
60,0,0,390,350000
85,0,803696.5,0,0
-1,0,0,0,0
60,0,0,0,199967
60,0,0,0,0
60,803.2700000000003,691596.8400000001,0,111047
-1,0,0,0,0
70,3176.460000000002,0,0,0
60,0,602258.66,0,0
-1,0,21744.34,0,0
60,0,0,0,0
60,0,29983.120000000003,0,0
60,0,616.7499999999999,0,0
60,0,0,390,0
60,0,0,0,0
-1,0,0,0,0
60,1184.64,9928.58,0,0
60,0,2583.71,0,96000
60,1407.93,34307.71,0,12159
-1,642.1999999999999,33292.55,0,7300
-1,0,8476.24,0,270000
60,0,600890,0,0
70,0,158635.77,0,181400
60,0,48678,0,0
60,0,340173.36,0,0
60,0,660.8299999999999,0,1000
60,0,14801.16,0,13100
60,0,601486.66,0,0
60,0,43501.95,0,230000
60,0,257049.21,0,70250.61
60,0,20696.63,0,0
60,0,0,0,0
60,0,2066569.81,0,0
60,0,40067.78,0,0
60,0,13430,0,0
-1,0,0,0,0
60,0,0,0,0
60,0,0,0,0
60,0,25664.41,0,20500
70,0,0,0,0
-1,0,18171.489999999998,0,0
60,1564.5599999999945,16565.16,0,42000
60,0,546285.01,0,304800
70,0,0,0,0
70,0,0,0,0
60,0,0,0,0
60,0,1514977.74,0,971856
60,0,1499301.6,409641,0
-1,0,0,0,0
60,0,0,0,30000
60,0,0,0,0
60,0,117954.47000000002,390,239451.25
60,0,0,0,0
60,0,662.6700000000001,0,0
60,665.7899999999998,0,0,0
60,0,56505.03,39000,0
60,0,0,0,0
60,0,0,0,0
60,0,0,0,0
-1,0,5705.9800000000005,0,0
60,0,0,0,0
-1,391.2099999999999,720479.5700000001,0,389020
60,0,18410,39000,3000
60,23.88,1190,0,322300
60,1169.7900000000002,6640,0,236000
-1,0,0,0,0
60,0,473.24,0,0
60,1259.1200000000001,15968.52,0,32200
60,0,0,0,0
-1,0,29979.120000000003,0,99400
60,0,0,0,234600
-1,0,0,0,0
70,0,0,0,0
-1,0,4.29,0,63388
60,0,0,0,0
60,0,601590,0,0
60,0,0,0,0
60,1548.3200000000006,1586852.1999999995,547450,554340.29
60,0,0,0,0
70,0,0,0,0
-1,0,0,0,0
60,0,43446.119999999995,39500,0
-1,0,0,0,0
70,0,3063.83,0,0
60,0,424423.2699999998,0,148974
60,0,39777.46,0,0
60,0,32416,0,0
70,0,9595.4,0,0
60,0,0,0,300000
60,0,0,0,0
60,0,45002.89000000001,0,34403
60,0,0,0,0
60,0,0,0,0
60,0,405172.89,0,210000
60,0,0,0,0
-1,0,0,0,0
60,0,142653.23,0,0
60,0,8533163.819999985,0,15355335
60,0,11471.33,0,63000
60,0,0,0,2100
60,0,65695.44,0,660
-1,0,403070.67,0,0
60,0,3741.33,0,150000
60,0,662097.22,0,160150
60,0,108635.7,0,0
60,0,0,0,0
60,0,336616.67,0,2600
-1,0,0,0,0
60,0,0,0,0
70,0,0,0,30000
60,0,113706.95999999999,39500,20000
60,0,176759.65,0,0
-1,0,24820.42,89000,0
60,0,4880,0,0
-1,0,17912.13,0,36900
-1,0,335.84,0,0
70,0,0,0,0
70,0,0,0,0
60,0,750672.4800000001,0,0
70,0,20246.92,0,0
60,0,14000,0,4055.2200000000007
-1,0,0,0,0
70,0,0,0,0
70,0,0,0,0
70,0,0,0,0
60,0,6038.18,39000,0
70,0,478700.06,0,0
60,0,2515.66,0,0
60,0,701667.63,0,0
70,0,0,516024,0
60,0,0,0,13538.380000000001
70,0,0,0,0
-1,0,0,0,0
60,0,8322.380000000001,39000,0
-1,121.19,51406.96,0,300000
70,5805.819999999996,9670.69,0,0
70,0,0,0,0
60,0,0,0,0
60,0,524311.3300000001,0,10300
70,0,23297,0,488605.14
-1,0,0,0,800000
60,0,1282454.3999999997,0,19795
-1,0,0,0,0
60,0,0,0,5000
-1,0,0,0,0
60,0,35199.91,0,6000
70,0,28809.67,0,42792.09
60,0,0,0,0
60,0,1269.6700000000003,0,153500
60,0,4363302.92,547450,167500
70,0,0,0,0
60,0,0,0,0
70,0,407484.58,0,1030000
60,0,0,0,0
60,0,1205461.2,0,637842.25
60,0,0,0,0
60,0,18217.16,0,0
60,1911.7600000000004,889162.6900000001,0,780401
-1,0,3978.0299999999997,699450,0
